"model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","eng_1","eng_1.2","eng_1.3"
"Fiesta",2017,10200,"Manual",11743,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2016,8640,"Manual",21763,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,12250,"Manual",8000,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10400,"Manual",18515,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,9998,"Manual",14010,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,8998,"Manual",14188,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,8498,"Manual",26052,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,10298,"Manual",17672,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8498,"Manual",20253,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2017,10998,"Manual",10829,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,8791,"Manual",34617,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,11200,"Manual",11550,"Petrol",150,65.7,1,1,0,0
"Fiesta",2017,10191,"Manual",19068,"Petrol",145,65.7,1,1,0,0
"Fiesta",2020,15750,"Manual",52,"Petrol",145,54.3,1,1,0,0
"Fiesta",2018,10250,"Manual",5220,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2016,7780,"Manual",37981,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,14990,"Manual",6591,"Petrol",145,55.4,1,1,0,0
"Fiesta",2017,9691,"Manual",11377,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,14500,"Manual",5223,"Petrol",145,58.9,1,1,0,0
"Fiesta",2018,9791,"Manual",8600,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2015,6475,"Manual",42716,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,9300,"Manual",29885,"Petrol",150,65.7,1,1,0,0
"Fiesta",2018,10291,"Manual",8324,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,11750,"Manual",13278,"Petrol",145,62.8,1,1,0,0
"Fiesta",2015,6798,"Manual",38271,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2015,7750,"Manual",24000,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10700,"Manual",3329,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10200,"Manual",12700,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2017,11200,"Manual",12380,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,7495,"Manual",18795,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,9495,"Manual",23364,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,8090,"Manual",13048,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2015,7450,"Manual",16806,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,14998,"Manual",4490,"Petrol",145,60.1,1,1,0,0
"Fiesta",2018,9395,"Manual",19000,"Petrol",150,64.2,1.1,0,1,0
"Fiesta",2016,7698,"Manual",23039,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2016,7995,"Manual",26863,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10540,"Manual",14435,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8995,"Manual",29830,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,8080,"Manual",25897,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,11240,"Manual",15669,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,13190,"Manual",8336,"Petrol",145,56.5,1,1,0,0
"Fiesta",2015,5298,"Manual",66174,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,7480,"Manual",30600,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,12500,"Manual",13773,"Petrol",145,62.8,1,1,0,0
"Fiesta",2018,12589,"Manual",5418,"Petrol",145,58.9,1,1,0,0
"Fiesta",2019,13998,"Manual",13702,"Petrol",145,58.9,1,1,0,0
"Fiesta",2019,13998,"Manual",16231,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,10398,"Manual",16914,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,11750,"Manual",6000,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,12995,"Manual",11340,"Petrol",145,62.8,1,1,0,0
"Fiesta",2018,8800,"Manual",4065,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2017,11450,"Manual",5551,"Petrol",20,62.8,1,1,0,0
"Fiesta",2017,8000,"Manual",25219,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2017,11300,"Manual",13931,"Petrol",145,65.7,1,1,0,0
"Fiesta",2015,10500,"Manual",4927,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,10495,"Manual",15206,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,9798,"Manual",24631,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,7298,"Manual",22444,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2019,13998,"Manual",10616,"Petrol",145,58.9,1,1,0,0
"Fiesta",2016,8600,"Manual",18316,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,9300,"Manual",14350,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,9780,"Manual",8829,"Petrol",145,55.4,1.1,0,1,0
"Fiesta",2019,12995,"Manual",12239,"Petrol",150,65.7,1,1,0,0
"Fiesta",2017,10000,"Manual",25243,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,7998,"Manual",42044,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,10888,"Manual",2280,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,8374,"Manual",17226,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2018,9090,"Manual",17200,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2019,12900,"Manual",12128,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,8400,"Manual",14448,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2019,10995,"Manual",6928,"Petrol",145,55.4,1.1,0,1,0
"Fiesta",2018,9750,"Manual",24788,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,9295,"Manual",22619,"Petrol",145,65.7,1,1,0,0
"Fiesta",2020,14995,"Manual",1798,"Petrol",145,56.5,1,1,0,0
"Fiesta",2017,7295,"Manual",15649,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,11350,"Manual",20824,"Petrol",150,65.7,1,1,0,0
"Fiesta",2016,8990,"Manual",46000,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,12000,"Manual",8538,"Petrol",150,56.5,1,1,0,0
"Fiesta",2017,10250,"Manual",17549,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,8500,"Manual",42000,"Petrol",20,62.8,1,1,0,0
"Fiesta",2018,9790,"Manual",5879,"Petrol",150,64.2,1.1,0,1,0
"Fiesta",2017,9995,"Manual",27755,"Petrol",20,62.8,1,1,0,0
"Fiesta",2018,12995,"Manual",8578,"Petrol",145,58.9,1,1,0,0
"Fiesta",2015,8250,"Manual",26937,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,13690,"Manual",4401,"Petrol",145,48.7,1.1,0,1,0
"Fiesta",2017,7390,"Manual",40782,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,9990,"Manual",12639,"Petrol",150,65.7,1,1,0,0
"Fiesta",2018,9590,"Manual",9864,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,14190,"Manual",3816,"Petrol",150,58.9,1,1,0,0
"Fiesta",2018,12495,"Manual",12810,"Petrol",145,56.5,1,1,0,0
"Fiesta",2016,8990,"Manual",21871,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,9200,"Manual",13751,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2015,6298,"Manual",30797,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,14250,"Manual",4706,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,9490,"Manual",15196,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2017,9400,"Manual",36239,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,12500,"Manual",10349,"Petrol",150,65.7,1,1,0,0
"Fiesta",2016,7495,"Manual",28290,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2016,8995,"Manual",20741,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,12377,"Manual",30335,"Petrol",145,65.7,1,1,0,0
"Fiesta",2015,7400,"Manual",31563,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,12400,"Manual",14346,"Petrol",145,62.8,1,1,0,0
"Fiesta",2015,6998,"Manual",39405,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,7498,"Manual",2263,"Petrol",0,65.7,1,1,0,0
"Fiesta",2016,7998,"Manual",30654,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10298,"Manual",18192,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8498,"Manual",17292,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2016,6998,"Manual",34716,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,10495,"Manual",33237,"Petrol",145,60.1,1,1,0,0
"Fiesta",2016,9699,"Manual",23149,"Petrol",20,62.8,1,1,0,0
"Fiesta",2016,8998,"Manual",14342,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,7499,"Manual",16427,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,11999,"Manual",12700,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,15498,"Manual",3059,"Petrol",145,60.1,1,1,0,0
"Fiesta",2015,5980,"Manual",26000,"Petrol",30,54.3,1.2,0,0,1
"Fiesta",2017,9490,"Manual",12620,"Petrol",0,65.7,1,1,0,0
"Fiesta",2016,7250,"Manual",22440,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2019,15495,"Manual",2112,"Petrol",145,58.9,1,1,0,0
"Fiesta",2015,8082,"Manual",32309,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,12698,"Manual",5987,"Petrol",150,58.9,1,1,0,0
"Fiesta",2018,8791,"Manual",13579,"Petrol",150,64.2,1.1,0,1,0
"Fiesta",2019,11498,"Manual",5492,"Petrol",150,48.7,1.1,0,1,0
"Fiesta",2017,9312,"Manual",18850,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10642,"Manual",16364,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,10980,"Manual",18982,"Petrol",150,65.7,1,1,0,0
"Fiesta",2017,10500,"Manual",29533,"Petrol",20,62.8,1,1,0,0
"Fiesta",2017,10990,"Manual",18487,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,8930,"Manual",38151,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,9417,"Manual",35731,"Petrol",150,62.8,1,1,0,0
"Fiesta",2016,8230,"Manual",50784,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,7995,"Manual",8700,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,8999,"Manual",12850,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10770,"Manual",31306,"Petrol",145,56.5,1,1,0,0
"Fiesta",2016,8950,"Manual",10864,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2015,7250,"Manual",19913,"Petrol",0,65.7,1,1,0,0
"Fiesta",2015,7900,"Manual",27372,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,9499,"Manual",3266,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2018,11000,"Manual",22140,"Petrol",145,56.5,1,1,0,0
"Fiesta",2019,16590,"Manual",4720,"Petrol",145,60.1,1,1,0,0
"Fiesta",2019,12990,"Manual",5744,"Petrol",145,48.7,1.1,0,1,0
"Fiesta",2019,15780,"Manual",9803,"Petrol",145,60.1,1,1,0,0
"Fiesta",2017,9420,"Manual",30045,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,11170,"Manual",8237,"Petrol",145,58.9,1,1,0,0
"Fiesta",2015,7995,"Manual",18209,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,7999,"Manual",36987,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2016,9000,"Manual",24806,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,8998,"Manual",9281,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,12191,"Manual",9610,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,13830,"Manual",6484,"Petrol",145,60.1,1,1,0,0
"Fiesta",2015,8291,"Manual",20927,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,11995,"Manual",6203,"Petrol",145,58.9,1,1,0,0
"Fiesta",2019,15910,"Manual",5752,"Petrol",145,58.9,1,1,0,0
"Fiesta",2019,13130,"Manual",2306,"Petrol",145,48.7,1.1,0,1,0
"Fiesta",2017,9695,"Manual",21803,"Petrol",145,62.8,1,1,0,0
"Fiesta",2017,8498,"Manual",22864,"Petrol",150,64.2,1.1,0,1,0
"Fiesta",2017,8700,"Manual",11000,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2017,10200,"Manual",23278,"Petrol",150,65.7,1,1,0,0
"Fiesta",2019,10498,"Manual",20636,"Petrol",150,55.4,1.1,0,1,0
"Fiesta",2016,8998,"Manual",28164,"Petrol",0,65.7,1,1,0,0
"Fiesta",2016,9650,"Manual",22083,"Petrol",20,62.8,1,1,0,0
"Fiesta",2019,13130,"Manual",151,"Petrol",145,48.7,1.1,0,1,0
"Fiesta",2019,16400,"Manual",4001,"Petrol",145,60.1,1,1,0,0
"Fiesta",2016,9891,"Manual",14038,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,11260,"Manual",7891,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10991,"Manual",5699,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,10410,"Manual",17188,"Petrol",145,62.8,1,1,0,0
"Fiesta",2019,15370,"Manual",5001,"Petrol",145,60.1,1,1,0,0
"Fiesta",2016,7691,"Manual",22822,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2019,12490,"Manual",2583,"Petrol",145,48.7,1.1,0,1,0
"Fiesta",2018,10731,"Manual",4026,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,10698,"Manual",22660,"Petrol",150,65.7,1,1,0,0
"Fiesta",2017,8291,"Manual",24450,"Petrol",145,64.2,1.1,0,1,0
"Fiesta",2015,6970,"Manual",21309,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2015,8499,"Manual",13964,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,10298,"Manual",14422,"Petrol",145,55.4,1.1,0,1,0
"Fiesta",2017,7798,"Manual",32039,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,10498,"Manual",23992,"Petrol",20,62.8,1,1,0,0
"Fiesta",2018,9730,"Manual",7305,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,7430,"Manual",38744,"Petrol",0,65.7,1,1,0,0
"Fiesta",2016,9600,"Manual",14535,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10000,"Manual",25062,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,11531,"Manual",8263,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,8991,"Manual",15560,"Petrol",150,64.2,1.1,0,1,0
"Fiesta",2017,9491,"Manual",16892,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,11180,"Manual",18885,"Petrol",150,62.8,1,1,0,0
"Fiesta",2017,9400,"Manual",14415,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,10300,"Manual",27929,"Petrol",150,65.7,1,1,0,0
"Fiesta",2019,12990,"Manual",4002,"Petrol",145,58.9,1,1,0,0
"Fiesta",2015,7695,"Manual",25128,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,9150,"Manual",9150,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,8995,"Manual",32204,"Petrol",20,62.8,1,1,0,0
"Fiesta",2019,13140,"Manual",5,"Petrol",145,48.7,1.1,0,1,0
"Fiesta",2019,16950,"Manual",11000,"Petrol",145,55.4,1,1,0,0
"Fiesta",2016,8230,"Manual",24295,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,9790,"Manual",7471,"Petrol",0,65.7,1,1,0,0
"Fiesta",2016,7791,"Manual",26985,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2017,9267,"Manual",6532,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,13140,"Manual",4052,"Petrol",145,60.1,1,1,0,0
"Fiesta",2017,9200,"Manual",25182,"Petrol",20,62.8,1,1,0,0
"Fiesta",2018,11460,"Manual",17076,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,7887,"Manual",24153,"Petrol",0,65.7,1,1,0,0
"Fiesta",2017,8610,"Manual",41037,"Petrol",0,65.7,1,1,0,0
"Fiesta",2016,9800,"Manual",19333,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,9998,"Manual",16567,"Petrol",145,55.4,1.1,0,1,0
"Fiesta",2017,10998,"Manual",12273,"Petrol",20,62.8,1,1,0,0
"Fiesta",2015,7999,"Manual",45837,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,11490,"Manual",18485,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,8450,"Manual",42450,"Petrol",125,54.3,1.2,0,0,1
"Fiesta",2018,10990,"Manual",3331,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,10270,"Manual",22295,"Petrol",145,65.7,1,1,0,0
"Fiesta",2019,14440,"Manual",9525,"Petrol",145,58.9,1,1,0,0
"Fiesta",2017,7992,"Manual",19493,"Petrol",145,54.3,1.2,0,0,1
"Fiesta",2018,9390,"Manual",20834,"Petrol",145,55.4,1.1,0,1,0
"Fiesta",2016,8880,"Manual",28595,"Petrol",0,65.7,1,1,0,0
"Fiesta",2019,13140,"Manual",3950,"Petrol",145,48.7,1.1,0,1,0
"Fiesta",2018,10020,"Manual",29874,"Petrol",145,65.7,1,1,0,0
"Fiesta",2016,8687,"Manual",11387,"Petrol",0,65.7,1,1,0,0
"Fiesta",2018,10850,"Manual",12394,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,8980,"Manual",24466,"Petrol",145,65.7,1,1,0,0
"Fiesta",2018,8750,"Manual",24545,"Petrol",145,65.7,1,1,0,0
"Fiesta",2017,10999,"Manual",10394,"Petrol",145,65.7,1,1,0,0
