comp_id,begin,end,COGS,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,finished_prod,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,net_dom_sales,net_exp_sales,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,wages,D,balsheet_flag,balsheet_length,balsheet_notfullyear,year,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,labor_avg
3228704,1/1/2016,12/31/2016,NA,11177.77734,92181.48438,182559.2656,NA,NA,NA,NA,1009381.5,2566.666748,33333.33203,44870.37109,14148.14844,367425.9375,NA,NA,128859.2578,NA,477733.3438,847929.625,25925.92578,976048.125,NA,NA,0,365,0,2016,1993,NA,1,0,0,1960,3490,male,Domestic,5610,56,3,2,East,12/21/1993,NA,1.618055582
3258033,1/1/2016,12/31/2016,NA,13777.77734,27844.44531,182618.5156,NA,NA,NA,NA,449966.6563,-32403.70313,0,0,7803.703613,40400,NA,NA,13100,NA,32977.77734,-166366.6719,62962.96484,449966.6563,NA,NA,0,365,0,2016,2004,NA,1,0,0,1972,1480,male,Domestic,5510,55,3,1,Central,7/27/2004,NA,0.075757578
3372747,1/1/2016,12/31/2016,NA,16577.77734,169525.9219,206870.375,NA,NA,NA,NA,412833.3438,38529.62891,1681.481445,4674.074219,7744.444336,561396.3125,NA,NA,213900,NA,809622.25,264055.5625,11111.11133,411151.8438,NA,NA,0,365,0,2016,2003,NA,1,0,0,1954,3083,male,Domestic,5610,56,3,3,Central,6/17/2003,NA,2.236111164
4177013,1/1/2016,12/31/2016,NA,2892.592529,11674.07422,2985.185303,NA,NA,NA,NA,8307.407227,566.666687,0,7240.740723,2611.111084,37537.03516,NA,NA,20418.51758,NA,60862.96484,16996.29688,11111.11133,8307.407227,NA,NA,0,365,0,2016,2012,NA,1,0,1,1972,1753,female,Domestic,5610,56,3,1,Central,3/8/2012,NA,0.388888896
4685732,1/1/2016,12/31/2016,NA,0,26700,1718.518555,NA,NA,NA,NA,0,13125.92578,0,174.0740814,26525.92578,23370.37109,NA,NA,24811.11133,NA,62166.66797,24981.48242,148.1481476,0,NA,NA,0,365,0,2016,NA,NA,NA,NA,NA,NA,NA,,,5610,56,3,2,Central,9/1/2004,NA,0.166666672
5219567,1/1/2016,12/31/2016,NA,0,122159.2578,216007.4063,NA,NA,NA,NA,13440.74121,2292.592529,0,38685.18359,13259.25879,234196.2969,NA,NA,25125.92578,NA,263870.375,-74574.07031,11111.11133,13440.74121,NA,NA,0,365,0,2016,2004,NA,2,0,0.5,1975,2473,mix,Domestic,5610,56,3,1,Central,6/28/2004,NA,0.631944478
7022130,1/1/2016,12/31/2016,NA,1125.925903,4066.666748,2218.518555,NA,NA,NA,NA,1740.740723,-19551.85156,0,0,1355.555542,52725.92578,NA,NA,28214.81445,NA,61511.10938,3562.962891,11111.11133,1740.740723,NA,NA,0,365,0,2016,NA,NA,NA,NA,NA,NA,NA,,,5610,56,3,3,West,3/30/2008,NA,0.333333313
7059012,1/1/2016,12/31/2016,NA,57351.85156,342955.5625,110570.3672,NA,NA,NA,NA,484881.4688,117862.9609,0,45770.37109,67159.25781,562237.0625,NA,NA,368077.7813,NA,1101922.25,630014.8125,19444.44531,484881.4688,NA,NA,0,365,0,2016,2.00E+03,NA,2,0,0.5,1956,3415,mix,Domestic,5610,56,3,2,West,11/30/2000,NA,3.743055582
7942535,1/1/2016,12/31/2016,NA,877966.6875,6246533.5,2286307.5,NA,NA,NA,NA,6372040.5,-910655.5625,68274.07031,2785600,777288.875,9626696,NA,NA,3544129.75,NA,13506385,9309633,370370.375,6303766.5,NA,NA,0,365,0,2016,1996,NA,1,1,0,NA,2887,male,Foreign,2829,28,2,2,West,12/20/1996,NA,19.89583397
8192455,1/1/2016,12/31/2016,NA,2666.666748,3725.926025,4711.111328,NA,NA,NA,NA,13170.37012,19422.22266,0,0,1333.333374,43048.14844,NA,NA,23096.29688,NA,86914.8125,-8585.185547,11111.11133,13170.37012,NA,NA,0,365,0,2016,2011,NA,1,0,0,1974,1871,male,Domestic,5629,56,3,2,East,11/14/2011,NA,0.215277776
8369527,1/1/2016,12/31/2016,NA,16785.18555,1118792.625,1092685.125,NA,NA,NA,NA,369466.6563,6.00E+03,0,53933.33203,66051.85156,4178859.25,NA,NA,300651.8438,NA,4523155.5,395885.1875,81407.40625,369466.6563,NA,NA,0,365,0,2016,1990,NA,1,0,0,1947,4748,male,Domestic,5629,56,3,2,Central,1/12/1990,NA,4.020833492
8898082,1/1/2016,12/31/2016,NA,0,12888.88867,90192.59375,NA,NA,NA,NA,85555.55469,-7307.407227,0,0,2525.926025,3566.666748,NA,NA,833.333313,NA,296.2962952,3825.926025,11111.11133,72777.78125,NA,NA,0,365,0,2016,1996,NA,1,1,0,NA,1811,male,Foreign,5610,56,3,1,Central,1/12/1996,NA,0.083333336
8941604,1/1/2016,12/31/2016,NA,870.3703613,114533.3438,61188.89063,NA,NA,NA,NA,3100,18851.85156,0,90811.10938,1111.111084,284648.1563,NA,NA,108855.5469,NA,418670.375,55485.18359,37037.03516,3100,NA,NA,0,365,0,2016,2002,NA,1,0,0,1952,2670,male,Domestic,2822,28,2,2,East,5/21/2002,NA,0.5
9101233,1/1/2016,12/31/2016,NA,7281.481445,178466.6719,184303.7031,NA,NA,NA,NA,45848.14844,25429.62891,0,142725.9219,1448.148193,533685.1875,NA,NA,19974.07422,NA,589222.25,39644.44531,11111.11133,45848.14844,NA,NA,0,365,0,2016,2009,NA,2,0,1,1969,2050.5,female,Domestic,5610,56,3,1,Central,2/9/2009,NA,0.25
9755598,1/1/2016,12/31/2016,NA,94507.40625,434829.625,54896.29688,NA,NA,NA,NA,1067592.625,209477.7813,296.2962952,4344.444336,57874.07422,177751.8594,NA,NA,300074.0625,NA,738074.0625,1192144.5,148888.8906,1066814.875,NA,NA,0,365,0,2016,2.00E+03,NA,1,0,0,1948,5942,male,Domestic,5510,55,3,3,East,7/18/2000,NA,2.916666746
9973630,1/1/2016,12/31/2016,NA,333.3333435,17400,1811.111084,NA,NA,NA,NA,0,2666.666748,0,0,15770.37012,83740.74219,NA,NA,11044.44434,NA,98500,15588.88867,11111.11133,0,NA,NA,0,365,0,2016,2013,NA,1,0,0,1992,539,male,Domestic,5610,56,3,1,Central,8/28/2013,NA,0.553030312
10838662,1/1/2016,12/31/2016,NA,9470.370117,49233.33203,73914.8125,NA,NA,NA,NA,52922.22266,10166.66699,0,36400,774.0740967,347596.2813,NA,NA,59288.89063,NA,399629.625,17533.33398,11111.11133,52922.22266,NA,NA,0,365,0,2016,2.00E+03,NA,1,0,0,1953,3512,male,Domestic,5610,56,3,3,Central,10/4/2000,NA,1.326388836
11380388,1/1/2016,12/31/2016,NA,2485.185303,2114.814697,3807.407471,NA,NA,NA,NA,50070.37109,14103.7041,18.51851845,0,1551.851807,17162.96289,NA,NA,7888.888672,NA,42044.44531,48377.77734,11111.11133,50051.85156,NA,NA,0,365,0,2016,2003,NA,1,0,1,1964,4702,female,Domestic,5590,55,3,3,Central,12/16/2003,NA,0.104166672
12100325,1/1/2016,12/31/2016,NA,31800,304574.0625,178496.2969,NA,NA,NA,NA,207003.7031,48977.77734,611.111084,71866.66406,122455.5469,283170.375,NA,NA,268855.5625,NA,628403.6875,291200,37037.03516,155266.6719,NA,NA,0,365,0,2016,1990,NA,1,0,0,1968,3678,male,Domestic,2825,28,2,2,East,10/9/1990,NA,1.631944418
13141287,1/1/2016,12/31/2016,NA,33.33333206,1855.555542,45574.07422,NA,NA,NA,NA,433.3333435,-8551.851563,0,907.4074097,774.0740967,69348.14844,NA,NA,47437.03516,NA,109025.9297,-43285.18359,4444.444336,433.3333435,NA,NA,0,365,0,2016,1989,NA,2,0,0.5,1946,2275.5,mix,Domestic,5610,56,3,1,Central,12/14/1989,NA,0.479166657
15817313,1/1/2016,12/31/2016,NA,8944.444336,15962.96289,10537.03711,NA,NA,NA,NA,20525.92578,5196.296387,0,1433.333374,8655.555664,82218.51563,NA,NA,10214.81445,NA,105114.8125,24614.81445,11111.11133,20525.92578,NA,NA,0,365,0,2016,2011,NA,1,0,0,1981,1958,male,Domestic,5629,56,3,3,Central,8/17/2011,NA,0.3125
15902720,1/1/2016,12/31/2016,NA,2170.370361,1818.518555,1662.963013,NA,NA,NA,NA,16340.74121,-1911.111084,0,611.111084,1207.407349,32666.66602,NA,NA,19007.4082,NA,53962.96484,-9614.814453,11111.11133,16340.74121,NA,NA,0,365,0,2016,2013,NA,1,0,1,1977,1347,female,Domestic,5610,56,3,3,Central,4/12/2013,NA,0.333333343
16457833,1/1/2016,12/31/2016,NA,4118.518555,62270.37109,10451.85156,NA,NA,NA,NA,32181.48242,3770.370361,0,42355.55469,118.5185165,386677.7813,NA,NA,60303.70313,NA,456622.2188,19203.70313,11111.11133,32181.48242,NA,NA,0,365,0,2016,2013,NA,1,0,0,1980,319,male,Domestic,5610,56,3,2,Central,1/15/2013,NA,1.034722209
16849244,1/1/2016,12/31/2016,NA,NA,1448381.5,230714.8125,NA,NA,NA,NA,447066.6563,190429.625,1988.888916,421537.0313,326544.4375,NA,NA,NA,NA,NA,4036477.75,1565885.125,92592.59375,439359.25,NA,NA,0,365,0,2016,2011,NA,1,1,0,NA,218,male,Foreign,2825,28,2,3,Central,7/29/2011,NA,2.375
17577634,1/1/2016,12/31/2016,NA,4955.555664,16933.33398,79188.89063,NA,NA,NA,NA,19233.33398,-17714.81445,0,13162.96289,3074.073975,48529.62891,NA,NA,17433.33398,NA,56633.33203,-43022.22266,11111.11133,19233.33398,NA,NA,0,365,0,2016,2004,NA,1,0,1,1982,3211,female,Domestic,5610,56,3,1,Central,11/10/2004,NA,0.263888896
17776540,1/1/2016,12/31/2016,NA,6948.147949,319692.5938,246885.1875,NA,NA,NA,NA,187855.5625,9892.592773,31237.03711,135385.1875,40355.55469,856118.5,NA,NA,21211.11133,NA,898314.8125,157907.4063,48148.14844,156618.5156,NA,NA,0,365,0,2016,1997,NA,2,0,0.5,1970.5,2439,mix,Domestic,2620,26,2,1,Central,7/1/1997,NA,0.256944448
18384412,1/1/2016,12/31/2016,NA,30211.11133,93718.51563,50618.51953,NA,NA,NA,NA,48785.18359,31922.22266,0,8066.666504,25829.62891,112355.5469,NA,NA,31125.92578,NA,208833.3281,92148.14844,11111.11133,48785.18359,NA,NA,0,365,0,2016,2006,NA,1,0,0,1962,3502,male,Domestic,3312,33,2,3,Central,5/30/2006,NA,0.25
19847096,1/1/2016,12/31/2016,NA,3911.111084,51237.03516,12259.25879,NA,NA,NA,NA,38996.29688,11500,0,133.3333282,18455.55469,64159.25781,NA,NA,21614.81445,NA,103622.2188,78544.44531,11111.11133,38996.29688,NA,NA,0,365,0,2016,2005,NA,2,0,0.5,1959,1851,mix,Domestic,3314,33,2,3,West,10/14/2005,NA,0.166666672
20052334,1/1/2016,12/31/2016,NA,529.6296387,26551.85156,1725.925903,NA,NA,NA,NA,133.3333282,2307.407471,0,23474.07422,3037.037109,83970.36719,NA,NA,34037.03516,NA,121803.7031,-16522.22266,185.1851807,133.3333282,NA,NA,0,365,0,2016,1998,NA,1,0,0,1957,3106,male,Domestic,5610,56,3,3,East,4/7/1998,NA,0.354166657
21180624,1/1/2016,12/31/2016,NA,13385.18555,235059.2656,206133.3281,NA,NA,NA,NA,94722.21875,2744.444336,118.5185165,16740.74023,174025.9219,506362.9688,NA,NA,299548.1563,NA,840625.9375,139588.8906,62444.44531,94603.70313,NA,NA,0,365,0,2016,1998,NA,1,1,0,NA,3196,male,Foreign,5510,55,3,2,Central,3/23/1998,NA,2.166666746
21416758,1/1/2016,12/31/2016,NA,3292.592529,14522.22266,61151.85156,NA,NA,NA,NA,40314.81641,-1600,17470.37109,5044.444336,8062.962891,49637.03516,NA,NA,10092.59277,NA,61529.62891,-6314.814941,11111.11133,22844.44531,NA,NA,0,365,0,2016,2010,NA,1,0,0,1963,2376,male,Domestic,5630,56,3,2,East,6/28/2010,NA,0.104166672
21731972,1/1/2016,12/31/2016,NA,1462.963013,20203.70313,4659.259277,NA,NA,NA,NA,3114.814697,1951.851807,0,925.9259033,16203.7041,39603.70313,NA,NA,43288.89063,NA,87340.74219,18659.25977,1851.851807,3114.814697,NA,NA,0,365,0,2016,1990,NA,1,0,0,1954,3622,male,Domestic,2893,28,2,2,East,7/9/1990,NA,0.298611104
22897908,1/1/2016,12/31/2016,NA,32622.22266,628788.875,395085.1875,NA,NA,NA,NA,598207.4375,4455.555664,0,0,4629.629395,125855.5469,NA,NA,15703.7041,NA,194837.0313,350814.8125,185185.1875,598207.4375,NA,NA,0,365,0,2016,1996,NA,1,0,0,1967,3517,male,Domestic,5610,56,3,1,Central,3/31/1996,NA,0.166666672
23906448,1/1/2016,12/31/2016,NA,5429.629395,17177.77734,18748.14844,NA,NA,NA,NA,132825.9219,9251.851563,0,2629.629639,6748.147949,108088.8906,NA,NA,34377.77734,NA,160518.5156,24277.77734,11518.51855,132825.9219,NA,NA,0,365,0,2016,2002,NA,1,0,0,1970,3602,male,Domestic,5610,56,3,1,Central,2/11/2002,NA,0.722222209
24692848,1/1/2016,12/31/2016,NA,85.18518829,54151.85156,21562.96289,NA,NA,NA,NA,733.333313,4066.666748,0,9577.777344,4059.259277,76725.92969,NA,NA,24014.81445,NA,110392.5938,34674.07422,11111.11133,733.333313,NA,NA,0,365,0,2016,2002,NA,1,0,0,1967,3651,male,Domestic,2822,28,2,1,Central,6/30/2002,NA,0.145833343
24919462,1/1/2016,12/31/2016,NA,2559.259277,126085.1875,18696.29688,NA,NA,NA,NA,1566.666626,87648.14844,0,0,97203.70313,502711.125,NA,NA,5100,NA,606214.8125,100007.4063,11111.11133,1566.666626,NA,NA,0,365,0,2016,2013,NA,1,0,1,1945,852,female,Domestic,5610,56,3,2,East,6/28/2013,NA,0.166666672
26863692,1/1/2016,12/31/2016,NA,2740.740723,13718.51855,3007.407471,NA,NA,NA,NA,6607.407227,6900,0,0,10411.11133,66796.29688,NA,NA,25474.07422,NA,102762.9609,17318.51758,11111.11133,6607.407227,NA,NA,0,365,0,2016,2011,NA,1,0,0,1968,1886,male,Domestic,2712,27,2,1,Central,11/2/2011,NA,0.215277776
27668768,1/1/2016,12/31/2016,NA,5540.740723,17500,32107.4082,NA,NA,NA,NA,4844.444336,-17148.14844,0,10703.7041,2414.814697,115625.9297,NA,NA,45314.81641,NA,144300,-114151.8516,2222.222168,4844.444336,NA,NA,0,365,0,2016,2009,NA,1,0,0,1975,2900,male,Domestic,5610,56,3,2,East,1/6/2009,NA,0.548611104
28366964,1/1/2016,12/31/2016,NA,22.22222137,239111.1094,117592.5938,NA,NA,NA,NA,213800,63970.37109,0,5229.629395,168514.8125,137866.6719,NA,NA,4633.333496,NA,205696.2969,256296.2969,185185.1875,213800,NA,NA,0,365,0,2016,2002,NA,1,0,0,1974,1759,male,Domestic,5610,56,3,2,Central,8/1/2002,NA,0.083333336
29030144,1/1/2016,12/31/2016,NA,8392.592773,43725.92578,26811.11133,NA,NA,NA,NA,17585.18555,1792.592651,0,4.00E+04,948.1481323,42774.07422,NA,NA,25555.55469,NA,79825.92969,26188.88867,11111.11133,17585.18555,NA,NA,0,365,0,2016,1991,NA,1,0,0,1977,3183,male,Domestic,2893,28,2,1,Central,7/31/1991,NA,0.402777761
29264988,1/1/2016,12/31/2016,NA,959.2592773,36448.14844,21303.70313,NA,NA,NA,NA,33448.14844,640.7407227,0,9574.074219,16462.96289,96125.92969,NA,NA,66155.55469,NA,159262.9688,48200,11111.11133,33448.14844,NA,NA,0,365,0,2016,2007,NA,1,0,0,1983,3365,male,Domestic,2811,28,2,3,West,9/20/2007,NA,0.486111104
31067164,1/1/2016,12/31/2016,NA,4925.925781,91700,36100,NA,NA,NA,NA,141459.2656,-16348.14844,0,6225.925781,2414.814697,364511.125,NA,NA,0,NA,352492.5938,32681.48242,11111.11133,141459.2656,NA,NA,0,365,0,2016,2007,NA,1,0,0,1974,3363,male,Domestic,5610,56,3,1,Central,10/11/2007,NA,0
31448876,1/1/2016,12/31/2016,NA,2622.222168,19907.4082,11703.7041,NA,NA,NA,NA,2540.740723,4003.703613,0,96.29629517,19251.85156,124570.3672,NA,NA,41744.44531,NA,175062.9688,10374.07422,370.3703613,2540.740723,NA,NA,0,365,0,2016,2002,NA,1,0,1,1964,3621,female,Domestic,5610,56,3,1,Central,8/31/2002,NA,0.520833313
32080712,1/1/2016,12/31/2016,NA,366.6666565,14133.33301,1400,NA,NA,NA,NA,1092.592651,940.7407227,0,4370.370605,355.555542,152011.1094,NA,NA,0,NA,153655.5625,9751.851563,11111.11133,1092.592651,NA,NA,0,365,0,2016,2002,NA,1,0,0,1971,1084,male,Domestic,5530,55,3,3,Central,7/17/2002,NA,0
33996400,1/1/2016,12/31/2016,NA,937.0370483,1222.222168,23618.51758,NA,NA,NA,NA,5681.481445,11440.74121,0,462.9629517,759.2592773,191703.7031,NA,NA,14170.37012,NA,198511.1094,-16714.81445,740.7407227,5681.481445,NA,NA,0,365,0,2016,1997,NA,1,0,0,1968,7303,male,Domestic,5610,56,3,1,Central,1/2/1997,NA,0.11805556
34793020,1/1/2016,12/31/2016,NA,7014.814941,92188.89063,12377.77734,NA,NA,NA,NA,37292.59375,35577.77734,0,11207.40723,42885.18359,270074.0625,NA,NA,96507.40625,NA,365670.375,117103.7031,1851.851807,37292.59375,NA,NA,0,365,0,2016,2011,NA,2,0,0,1973.5,1230.5,male,Domestic,5629,56,3,3,West,8/4/2011,NA,0.659722209
35328200,1/1/2016,12/31/2016,NA,10877.77734,70362.96094,55474.07422,NA,NA,NA,NA,27174.07422,1270.370361,0,52388.89063,11937.03711,223988.8906,NA,NA,126648.1484,NA,356248.1563,42062.96484,11111.11133,27174.07422,NA,NA,0,365,0,2016,2.00E+03,NA,2,0,1,1966,3112.5,female,Domestic,5610,56,3,3,East,11/17/2000,NA,1.25
35512824,1/1/2016,12/31/2016,NA,9.00E+03,223644.4375,349070.375,NA,NA,NA,NA,29166.66602,31059.25977,0,71714.8125,137144.4375,446559.25,NA,NA,0,NA,493962.9688,-96259.25781,25925.92578,28611.11133,NA,NA,0,365,0,2016,2011,NA,2,0,0.5,1983,1312.5,mix,Domestic,5610,56,3,1,Central,2/2/2011,NA,0
35709696,1/1/2016,12/31/2016,NA,9433.333008,53811.10938,5288.888672,NA,NA,NA,NA,161562.9688,5574.074219,0,0,49192.59375,22129.62891,NA,NA,18237.03711,NA,56814.81641,184381.4844,3111.111084,161562.9688,NA,NA,0,365,0,2016,1995,NA,2,0,0.5,1955,2283,mix,Domestic,5610,56,3,3,East,12/11/1995,NA,0.340277791
36238580,1/1/2016,12/31/2016,NA,25414.81445,2367170.25,765440.75,NA,NA,NA,NA,199240.7344,1159811.125,318.5185242,0,45344.44531,829470.375,NA,NA,106192.5938,NA,2025822.25,1799248.125,11111.11133,198922.2188,NA,NA,0,365,0,2016,2010,NA,1,0,0,1972,2421,male,Domestic,2893,28,2,3,Central,5/10/2010,NA,1.319444418
36616220,1/1/2016,12/31/2016,NA,64048.14844,877233.3125,342088.875,NA,NA,NA,NA,191192.5938,184003.7031,462.9629517,44933.33203,185937.0313,1158744.5,NA,NA,361207.4063,NA,1764474.125,631688.875,11111.11133,190729.625,NA,NA,0,365,0,2016,2001,NA,3,0,0.333333343,1957.666626,4378,mix,Domestic,5610,56,3,2,East,5/23/2001,NA,4.4375
